Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,576.4878173,566.8811297,564.9208406,563.4882365,553.973306,559.140954,529.1449097,407.6165052,372.6158948,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3855.760744,3952.803574,4090.372728,4249.820049,4431.555595,4543.38771,4418.660874,4857.111942,5155.29086,5394.18241
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4687.288575,4741.49977,4829.185829,4806.631255,4782.034707,4737.129774,4422.979472,4515.573999,4602.575608,4717.399329
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14214.64646,14464.81405,14969.05994,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38402.64926,38885.53032,39886.64008,39321.61431,39320.09245,39413.79088,34394.41404,36616.10076,39720.95186,40161.76953
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3304.681148,3217.33924,3023.916319,2914.127139,2777.843042,2666.253915,2435.024854,2387.429907,2385.119956,2333.718775
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15882.30926,15985.54114,16526.43614,16830.39626,17901.04091,18357.67882,14803.76951,15921.09512,17335.04704,17902.37992
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11346.65211,12444.31827,12940.73844,12625.46955
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3538.529392,3666.141822,3689.830082,3985.916698,4215.899394,4561.967799,4256.131228,4526.597489,5116.205756,5566.318493
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28780.63086,28419.26453,28737.89649,30598.64902,31172.80251,30317.60739,23015.74205,29390.38095,32492.17888,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,56341.13415,56758.8692,57432.18029,57804.05091,58600.79036,59000.73544,58082.42658,59225.52454,60972.87034,61340.71048
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46616.35917,43343.9719,44984.41974,46697.85652,45851.72488
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5506.181696,5500.503646,5270.738166,5229.70989,5262.368705,5348.453189,5083.560254,5345.439864,5595.255787,5674.483477
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29698.75832,29722.40684,29192.74645,29781.06581,30344.7996,29736.79422,23256.11606,26743.87403,29477.23585,30061.65465
